SchoolName,Religion,Level,YearTerm,Total
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,M3,2565/1,13
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,M4,2565/1,3
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,M5,2565/1,9
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อิสลาม,M6,2565/1,6
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P1,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P2,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P3,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P5,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,P6,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,M2,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,M3,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,M4,2565/1,0
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,M5,2565/1,1
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,อื่นๆ,M6,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P1,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P2,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P3,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P4,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P5,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,P6,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,M2,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,M3,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,M4,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,M5,2565/1,0
โรงเรียนบัวแก้วเกษร,คริสต์,M6,2565/1,1
โรงเรียนบัวแก้วเกษร,พุทธ,P1,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,P2,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,P3,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,P4,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,P5,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,P6,2565/1,0
โรงเรียนบัวแก้วเกษร,พุทธ,M2,2565/1,228
โรงเรียนบัวแก้วเกษร,พุทธ,M3,2565/1,218
โรงเรียนบัวแก้วเกษร,พุทธ,M4,2565/1,159
โรงเรียนบัวแก้วเกษร,พุทธ,M5,2565/1,117
โรงเรียนบัวแก้วเกษร,พุทธ,M6,2565/1,95
โรงเรียนบัวแก้วเกษร,อิสลาม,P1,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,P2,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,P3,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,P4,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,P5,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,P6,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,M2,2565/1,4
โรงเรียนบัวแก้วเกษร,อิสลาม,M3,2565/1,3
โรงเรียนบัวแก้วเกษร,อิสลาม,M4,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,M5,2565/1,0
โรงเรียนบัวแก้วเกษร,อิสลาม,M6,2565/1,4
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P1,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P2,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P3,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P4,2565/1,1
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P5,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,P6,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,M2,2565/1,0
โรงเรียนวรราชาทินัดดามาตุวิทยา,คริสต์,M3,2565/1,2
